Date of Lead Publication,Imported By,Date Imported,Verification Status,Lead Id,Lead Title,Lead URL,Authoring Organizations Type,Author,Source,Lead Priority,Assignee,Entry Id,Lead-Entry Id,Modified Excerpt,Original Excerpt,Context - Dimension,Context - Subdimension,Population,Vulnerable groups - Level 0,Factors - Dimension,Factors - Subdimension,Malawi Polygons,Country,Country (code),District,District (code),Town,Town (code),Date,Reliability,Health Services - Dimension,Health Services - Subdimension,Outbreak - Dimension,Outbreak - Subdimension,Health and social consequences,Interventions to control the outbreak,Spread of the outbreak,Health workforce,Socio-economic status
07-11-2017,Delphyne de Peretti,04-05-2022,Uncontrolled,80041,Innovative vaccine delivery strategies in response to a cholera outbreak in the challenging context of Lake Chilwa. A rapid qualitative assessment,https://doi.org/10.1016/j.vaccine.2017.10.108,,,Vaccine,Low,Delphyne de Peretti,574136,80041-574136,A reactive campaign using two doses of Shanchol Oral Cholera Vaccine (OCV) was implemented in 2016 in the Lake Chilwa Region (Malawi) targeting fish dependent communities.,,Factors,Social organisation and administrative structure,,,,,,,,,,,,,Medium,,,Disease,Cholera,Decrease,Enable,Discourage,,
07-11-2017,Delphyne de Peretti,04-05-2022,Uncontrolled,80041,Innovative vaccine delivery strategies in response to a cholera outbreak in the challenging context of Lake Chilwa. A rapid qualitative assessment,https://doi.org/10.1016/j.vaccine.2017.10.108,,,Vaccine,Low,Delphyne de Peretti,574136,80041-574136,A reactive campaign using two doses of Shanchol Oral Cholera Vaccine (OCV) was implemented in 2016 in the Lake Chilwa Region (Malawi) targeting fish dependent communities.,,Factors,Social organisation and administrative structure,,,,,,,,,,,,,Medium,,,Response,Vaccination,Decrease,Enable,Discourage,,
07-11-2017,Delphyne de Peretti,04-05-2022,Uncontrolled,80041,Innovative vaccine delivery strategies in response to a cholera outbreak in the challenging context of Lake Chilwa. A rapid qualitative assessment,https://doi.org/10.1016/j.vaccine.2017.10.108,,,Vaccine,Low,Delphyne de Peretti,574135,80041-574135,Innovative vaccine delivery strategies in response to a cholera outbreak in the challenging context of Lake Chilwa,,Factors,Social organisation and administrative structure,Rural,,,,,Malawi,Malawi,Zomba,Zomba,,,15-03-2016,Medium,,,Disease,Cholera,Decrease,Enable,Discourage,,
07-11-2017,Delphyne de Peretti,04-05-2022,Uncontrolled,80041,Innovative vaccine delivery strategies in response to a cholera outbreak in the challenging context of Lake Chilwa. A rapid qualitative assessment,https://doi.org/10.1016/j.vaccine.2017.10.108,,,Vaccine,Low,Delphyne de Peretti,574135,80041-574135,Innovative vaccine delivery strategies in response to a cholera outbreak in the challenging context of Lake Chilwa,,Factors,Social organisation and administrative structure,Rural,,,,,Malawi,Malawi,,,,,15-03-2016,Medium,,,Disease,Cholera,Decrease,Enable,Discourage,,
07-11-2017,Delphyne de Peretti,04-05-2022,Uncontrolled,80041,Innovative vaccine delivery strategies in response to a cholera outbreak in the challenging context of Lake Chilwa. A rapid qualitative assessment,https://doi.org/10.1016/j.vaccine.2017.10.108,,,Vaccine,Low,Delphyne de Peretti,574135,80041-574135,Innovative vaccine delivery strategies in response to a cholera outbreak in the challenging context of Lake Chilwa,,Factors,Social organisation and administrative structure,Rural,,,,,Malawi,Malawi,Zomba,Zomba,,,15-03-2016,Medium,,,Response,Vaccination,Decrease,Enable,Discourage,,
07-11-2017,Delphyne de Peretti,04-05-2022,Uncontrolled,80041,Innovative vaccine delivery strategies in response to a cholera outbreak in the challenging context of Lake Chilwa. A rapid qualitative assessment,https://doi.org/10.1016/j.vaccine.2017.10.108,,,Vaccine,Low,Delphyne de Peretti,574135,80041-574135,Innovative vaccine delivery strategies in response to a cholera outbreak in the challenging context of Lake Chilwa,,Factors,Social organisation and administrative structure,Rural,,,,,Malawi,Malawi,,,,,15-03-2016,Medium,,,Response,Vaccination,Decrease,Enable,Discourage,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574127,79401-574127,"The American Religious Right is a coalition of politically and socially conservative evangelical and fundamentalist individuals, congregations, and organizations which has, since the 1980s Moral Majority, become very politically active and highly organized with an effective lobby.","The American Religious Right is a coalition of politically and socially conservative evangelical and fundamentalist individuals, congregations, and organizations which has, since the 1980s Moral Majority, become very politically active and highly organized with an effective lobby.",Factors,Political context and social movements,Unspecified/General population,,,,,Malawi,Malawi,,,,,,Medium,,,Disease,Covid-19,Increase,Hinder,Facilitate,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574126,79401-574126,"With the country on edge politically, the population agitated for civil disobedience","With the country on edge politically, the population agitated for civil disobedience",Factors,Political context and social movements,Urban,,,,,Malawi,Malawi,,,,,10-05-2020,Medium,,,Disease,Covid-19,Increase,Hinder,Facilitate,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574125,79401-574125,"the country was also in a politically volatile situation. Earlier in the year (in February), courts had annulled the presidential elections of 2019","the country was also in a politically volatile situation. Earlier in the year (in February), courts had annulled the presidential elections of 2019",Factors,Political context and social movements,Unspecified/General population,,,,,Malawi,Malawi,,,,,15-02-2020,Medium,,,Disease,Covid-19,Increase,Hinder,Facilitate,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574124,79401-574124,"The majority of the population made their income in the informal economy, and their survival was on a hand-to-mouth basis.","The majority of the population made their income in the informal economy, and their survival was on a hand-to-mouth basis.",Factors,Livelihoods and economic relations,Unspecified/General population,,,,,Malawi,Malawi,,,,,,Medium,,,Disease,Covid-19,Neutral,Neutral,Neutral,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574124,79401-574124,"The majority of the population made their income in the informal economy, and their survival was on a hand-to-mouth basis.","The majority of the population made their income in the informal economy, and their survival was on a hand-to-mouth basis.",Factors,Livelihoods and economic relations,Unspecified/General population,,,,,Malawi,Malawi,,,,,,Medium,,,Response,Government measures,Neutral,Neutral,Neutral,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574119,79401-574119,Another argument raised was that the lockdown order was a punishment to innocent Malawians as the government had not put in place adequate social security measures for people to rely on during the lockdown.,Another argument raised was that the lockdown order was a punishment to innocent Malawians as the government had not put in place adequate social security measures,Factors,Social organisation and administrative structure,Unspecified/General population,,,,,Malawi,Malawi,,,,,15-05-2020,Medium,,,Disease,Covid-19,Neutral,Neutral,Neutral,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574119,79401-574119,Another argument raised was that the lockdown order was a punishment to innocent Malawians as the government had not put in place adequate social security measures for people to rely on during the lockdown.,Another argument raised was that the lockdown order was a punishment to innocent Malawians as the government had not put in place adequate social security measures,Factors,Social organisation and administrative structure,Unspecified/General population,,,,,Malawi,Malawi,,,,,15-05-2020,Medium,,,Response,Government measures,Neutral,Neutral,Neutral,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574118,79401-574118,"The applicants, therefore, argued that they had implemented measures to prevent the spread of COVID-19 by limiting the number of members attending the gatherings to 50 (including clergy and of?cials) and ensuring that they maintain a distance of 2 m between individuals in all directions, allowing 2 h cooling off period between services and provision of sanitary products.","The applicants, therefore, argued that they had implemented measures to prevent the spread of COVID-19 by limiting the number of members attending the gatherings to 50 (including clergy and of?cials) and ensuring that they maintain a distance of 2 m between individuals in all directions, allowing 2 h cooling off period between services and provision of sanitary products.",Factors,Religion and dominant beliefs,Unspecified/General population,,,,,Malawi,Malawi,,,,,22-04-2020,Medium,,,Disease,Covid-19,Decrease,Enable,Discourage,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574118,79401-574118,"The applicants, therefore, argued that they had implemented measures to prevent the spread of COVID-19 by limiting the number of members attending the gatherings to 50 (including clergy and of?cials) and ensuring that they maintain a distance of 2 m between individuals in all directions, allowing 2 h cooling off period between services and provision of sanitary products.","The applicants, therefore, argued that they had implemented measures to prevent the spread of COVID-19 by limiting the number of members attending the gatherings to 50 (including clergy and of?cials) and ensuring that they maintain a distance of 2 m between individuals in all directions, allowing 2 h cooling off period between services and provision of sanitary products.",Factors,Religion and dominant beliefs,Unspecified/General population,,,,,Malawi,Malawi,,,,,22-04-2020,Medium,,,Response,Government measures,Decrease,Enable,Discourage,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574117,79401-574117,"The suspension of religious gatherings and closure of churches was disproportionate, taking into account the number of positive COVID-19 cases diagnosed in Malawi at the time.","The suspension of religious gatherings and closure of churches was disproportionate, taking into account the number of positive COVID-19 cases diagnosed in Malawi at the time.",Factors,Religion and dominant beliefs,Unspecified/General population,,,,,Malawi,Malawi,,,,,16-04-2020,Medium,,,Disease,Covid-19,Neutral,Neutral,Neutral,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574117,79401-574117,"The suspension of religious gatherings and closure of churches was disproportionate, taking into account the number of positive COVID-19 cases diagnosed in Malawi at the time.","The suspension of religious gatherings and closure of churches was disproportionate, taking into account the number of positive COVID-19 cases diagnosed in Malawi at the time.",Factors,Religion and dominant beliefs,Unspecified/General population,,,,,Malawi,Malawi,,,,,16-04-2020,Medium,,,Response,Government measures,Neutral,Neutral,Neutral,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574116,79401-574116,"On 17 April 2020, the case of Prophet David F. Mbewe (2020) (On his behalf and behalf of the Registered Trustees of the Living Word Evangelistic Church) v Malawi Council of Churches and Attorney General, HC/PR Civil Cause No. 112 of 2020 was commenced to challenge the lockdown measures imposed by the minister. The case meant to stop the mandated suspension and closure of religious gatherings of any church in Malawi.","On 17 April 2020, the case of Prophet David F. Mbewe (2020) (On his behalf and behalf of the Registered Trustees of the Living Word Evangelistic Church) v Malawi Council of Churches and Attorney General, HC/PR Civil Cause No. 112 of 2020 was commenced to challenge the lockdown measures imposed by the minister. The case meant to stop the mandated suspension and closure of religious gatherings of any church in Malawi.",Factors,Religion and dominant beliefs,Unspecified/General population,,,,,Malawi,Malawi,,,,,17-04-2020,Medium,,,Disease,Covid-19,Increase,Neutral,Neutral,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574116,79401-574116,"On 17 April 2020, the case of Prophet David F. Mbewe (2020) (On his behalf and behalf of the Registered Trustees of the Living Word Evangelistic Church) v Malawi Council of Churches and Attorney General, HC/PR Civil Cause No. 112 of 2020 was commenced to challenge the lockdown measures imposed by the minister. The case meant to stop the mandated suspension and closure of religious gatherings of any church in Malawi.","On 17 April 2020, the case of Prophet David F. Mbewe (2020) (On his behalf and behalf of the Registered Trustees of the Living Word Evangelistic Church) v Malawi Council of Churches and Attorney General, HC/PR Civil Cause No. 112 of 2020 was commenced to challenge the lockdown measures imposed by the minister. The case meant to stop the mandated suspension and closure of religious gatherings of any church in Malawi.",Factors,Religion and dominant beliefs,Unspecified/General population,,,,,Malawi,Malawi,,,,,17-04-2020,Medium,,,Response,Government measures,Increase,Neutral,Neutral,,
