,Date of Lead Publication,Imported By,Date Imported,Verification Status,Lead Id,Lead Title,Lead URL,Authoring Organizations Type,Author,Source,Lead Priority,Assignee,Entry Id,Lead-Entry Id,Modified Excerpt,Original Excerpt,Context - Dimension,Context - Subdimension,Population,Vulnerable groups - Level 0,Malawi Polygons,Country,Country (code),District,District (code),Town,Town (code),Date,Usefulness of the source,Health Services - Dimension,Health Services - Subdimension,Outbreak - Dimension,Outbreak - Subdimension,Health and social consequences,Interventions to control the outbreak/emergency,Spread of the outbreak/emergency,Health workforce,Socio-economic status
0,2022-04-29,Delphyne de Peretti,2022-05-18,Uncontrolled,81603,A Retrospective Analysis of the COVID-19 Vaccine Express Strategy in Malawi: An Effort to Reach the Un-Reach,https://prod-api.thedeep.io/private-file/8e99eb76-befe-4fa5-b370-db55776febdd/SSRN-id4094796.pdf,,,The Lancet (Preprint),Low,Delphyne de Peretti,582923,81603-582923,"Covid-19 Vaccination Express ensured availability and utilization of all Covid- 19 vaccination program components at one platform, particularly in Malawi's remote and in-accessible locations. Covid-19 Vaccination Express showed promising results in terms of the Covid-19 vaccine acceptance by the communities in different settlements. It benefitted the vaccination
program in two ways: it could reach the remotest population with potent vaccines and increase the vaccine uptake to save the wastage of vaccines in terms of expiry.",,Factors (Societal level),Geographic and infrastructure,Rural,,,Malawi,Malawi,,,,,2022-01-01,Very high,Accessibility,Organizational,Disease,Covid-19,Decrease,Enable,Discourage,,
1,2022-04-29,Delphyne de Peretti,2022-05-18,Uncontrolled,81603,A Retrospective Analysis of the COVID-19 Vaccine Express Strategy in Malawi: An Effort to Reach the Un-Reach,https://prod-api.thedeep.io/private-file/8e99eb76-befe-4fa5-b370-db55776febdd/SSRN-id4094796.pdf,,,The Lancet (Preprint),Low,Delphyne de Peretti,582923,81603-582923,"Covid-19 Vaccination Express ensured availability and utilization of all Covid- 19 vaccination program components at one platform, particularly in Malawi's remote and in-accessible locations. Covid-19 Vaccination Express showed promising results in terms of the Covid-19 vaccine acceptance by the communities in different settlements. It benefitted the vaccination
program in two ways: it could reach the remotest population with potent vaccines and increase the vaccine uptake to save the wastage of vaccines in terms of expiry.",,Factors (Societal level),Population and ethnicity,Rural,,,Malawi,Malawi,,,,,2022-01-01,Very high,Accessibility,Organizational,Disease,Covid-19,Decrease,Enable,Discourage,,
2,2022-04-29,Delphyne de Peretti,2022-05-18,Uncontrolled,81603,A Retrospective Analysis of the COVID-19 Vaccine Express Strategy in Malawi: An Effort to Reach the Un-Reach,https://prod-api.thedeep.io/private-file/8e99eb76-befe-4fa5-b370-db55776febdd/SSRN-id4094796.pdf,,,The Lancet (Preprint),Low,Delphyne de Peretti,582923,81603-582923,"Covid-19 Vaccination Express ensured availability and utilization of all Covid- 19 vaccination program components at one platform, particularly in Malawi's remote and in-accessible locations. Covid-19 Vaccination Express showed promising results in terms of the Covid-19 vaccine acceptance by the communities in different settlements. It benefitted the vaccination
program in two ways: it could reach the remotest population with potent vaccines and increase the vaccine uptake to save the wastage of vaccines in terms of expiry.",,Factors (Societal level),Geographic and infrastructure,Rural,,,Malawi,Malawi,,,,,2022-01-01,Very high,Accessibility,Geographic/Transport,Disease,Covid-19,Decrease,Enable,Discourage,,
3,2022-04-29,Delphyne de Peretti,2022-05-18,Uncontrolled,81603,A Retrospective Analysis of the COVID-19 Vaccine Express Strategy in Malawi: An Effort to Reach the Un-Reach,https://prod-api.thedeep.io/private-file/8e99eb76-befe-4fa5-b370-db55776febdd/SSRN-id4094796.pdf,,,The Lancet (Preprint),Low,Delphyne de Peretti,582923,81603-582923,"Covid-19 Vaccination Express ensured availability and utilization of all Covid- 19 vaccination program components at one platform, particularly in Malawi's remote and in-accessible locations. Covid-19 Vaccination Express showed promising results in terms of the Covid-19 vaccine acceptance by the communities in different settlements. It benefitted the vaccination
program in two ways: it could reach the remotest population with potent vaccines and increase the vaccine uptake to save the wastage of vaccines in terms of expiry.",,Factors (Societal level),Population and ethnicity,Rural,,,Malawi,Malawi,,,,,2022-01-01,Very high,Accessibility,Geographic/Transport,Disease,Covid-19,Decrease,Enable,Discourage,,
4,2022-04-29,Delphyne de Peretti,2022-05-18,Uncontrolled,81603,A Retrospective Analysis of the COVID-19 Vaccine Express Strategy in Malawi: An Effort to Reach the Un-Reach,https://prod-api.thedeep.io/private-file/8e99eb76-befe-4fa5-b370-db55776febdd/SSRN-id4094796.pdf,,,The Lancet (Preprint),Low,Delphyne de Peretti,582923,81603-582923,"Covid-19 Vaccination Express ensured availability and utilization of all Covid- 19 vaccination program components at one platform, particularly in Malawi's remote and in-accessible locations. Covid-19 Vaccination Express showed promising results in terms of the Covid-19 vaccine acceptance by the communities in different settlements. It benefitted the vaccination
program in two ways: it could reach the remotest population with potent vaccines and increase the vaccine uptake to save the wastage of vaccines in terms of expiry.",,Factors (Societal level),Geographic and infrastructure,Rural,,,Malawi,Malawi,,,,,2022-01-01,Very high,Accessibility,Organizational,Response,Logistics,Decrease,Enable,Discourage,,
5,2022-04-29,Delphyne de Peretti,2022-05-18,Uncontrolled,81603,A Retrospective Analysis of the COVID-19 Vaccine Express Strategy in Malawi: An Effort to Reach the Un-Reach,https://prod-api.thedeep.io/private-file/8e99eb76-befe-4fa5-b370-db55776febdd/SSRN-id4094796.pdf,,,The Lancet (Preprint),Low,Delphyne de Peretti,582923,81603-582923,"Covid-19 Vaccination Express ensured availability and utilization of all Covid- 19 vaccination program components at one platform, particularly in Malawi's remote and in-accessible locations. Covid-19 Vaccination Express showed promising results in terms of the Covid-19 vaccine acceptance by the communities in different settlements. It benefitted the vaccination
program in two ways: it could reach the remotest population with potent vaccines and increase the vaccine uptake to save the wastage of vaccines in terms of expiry.",,Factors (Societal level),Population and ethnicity,Rural,,,Malawi,Malawi,,,,,2022-01-01,Very high,Accessibility,Organizational,Response,Logistics,Decrease,Enable,Discourage,,
6,2022-04-29,Delphyne de Peretti,2022-05-18,Uncontrolled,81603,A Retrospective Analysis of the COVID-19 Vaccine Express Strategy in Malawi: An Effort to Reach the Un-Reach,https://prod-api.thedeep.io/private-file/8e99eb76-befe-4fa5-b370-db55776febdd/SSRN-id4094796.pdf,,,The Lancet (Preprint),Low,Delphyne de Peretti,582923,81603-582923,"Covid-19 Vaccination Express ensured availability and utilization of all Covid- 19 vaccination program components at one platform, particularly in Malawi's remote and in-accessible locations. Covid-19 Vaccination Express showed promising results in terms of the Covid-19 vaccine acceptance by the communities in different settlements. It benefitted the vaccination
program in two ways: it could reach the remotest population with potent vaccines and increase the vaccine uptake to save the wastage of vaccines in terms of expiry.",,Factors (Societal level),Geographic and infrastructure,Rural,,,Malawi,Malawi,,,,,2022-01-01,Very high,Accessibility,Geographic/Transport,Response,Logistics,Decrease,Enable,Discourage,,
7,2022-04-29,Delphyne de Peretti,2022-05-18,Uncontrolled,81603,A Retrospective Analysis of the COVID-19 Vaccine Express Strategy in Malawi: An Effort to Reach the Un-Reach,https://prod-api.thedeep.io/private-file/8e99eb76-befe-4fa5-b370-db55776febdd/SSRN-id4094796.pdf,,,The Lancet (Preprint),Low,Delphyne de Peretti,582923,81603-582923,"Covid-19 Vaccination Express ensured availability and utilization of all Covid- 19 vaccination program components at one platform, particularly in Malawi's remote and in-accessible locations. Covid-19 Vaccination Express showed promising results in terms of the Covid-19 vaccine acceptance by the communities in different settlements. It benefitted the vaccination
program in two ways: it could reach the remotest population with potent vaccines and increase the vaccine uptake to save the wastage of vaccines in terms of expiry.",,Factors (Societal level),Population and ethnicity,Rural,,,Malawi,Malawi,,,,,2022-01-01,Very high,Accessibility,Geographic/Transport,Response,Logistics,Decrease,Enable,Discourage,,
8,2022-04-29,Delphyne de Peretti,2022-05-18,Uncontrolled,81603,A Retrospective Analysis of the COVID-19 Vaccine Express Strategy in Malawi: An Effort to Reach the Un-Reach,https://prod-api.thedeep.io/private-file/8e99eb76-befe-4fa5-b370-db55776febdd/SSRN-id4094796.pdf,,,The Lancet (Preprint),Low,Delphyne de Peretti,582923,81603-582923,"Covid-19 Vaccination Express ensured availability and utilization of all Covid- 19 vaccination program components at one platform, particularly in Malawi's remote and in-accessible locations. Covid-19 Vaccination Express showed promising results in terms of the Covid-19 vaccine acceptance by the communities in different settlements. It benefitted the vaccination
program in two ways: it could reach the remotest population with potent vaccines and increase the vaccine uptake to save the wastage of vaccines in terms of expiry.",,Factors (Societal level),Geographic and infrastructure,Rural,,,Malawi,Malawi,,,,,2022-01-01,Very high,Accessibility,Organizational,Response,Government measures,Decrease,Enable,Discourage,,
9,2022-04-29,Delphyne de Peretti,2022-05-18,Uncontrolled,81603,A Retrospective Analysis of the COVID-19 Vaccine Express Strategy in Malawi: An Effort to Reach the Un-Reach,https://prod-api.thedeep.io/private-file/8e99eb76-befe-4fa5-b370-db55776febdd/SSRN-id4094796.pdf,,,The Lancet (Preprint),Low,Delphyne de Peretti,582923,81603-582923,"Covid-19 Vaccination Express ensured availability and utilization of all Covid- 19 vaccination program components at one platform, particularly in Malawi's remote and in-accessible locations. Covid-19 Vaccination Express showed promising results in terms of the Covid-19 vaccine acceptance by the communities in different settlements. It benefitted the vaccination
program in two ways: it could reach the remotest population with potent vaccines and increase the vaccine uptake to save the wastage of vaccines in terms of expiry.",,Factors (Societal level),Population and ethnicity,Rural,,,Malawi,Malawi,,,,,2022-01-01,Very high,Accessibility,Organizational,Response,Government measures,Decrease,Enable,Discourage,,
