,iso3,admin_level_1,indicator_id,subvariable,question,indicator_value,nominator,denominator,gender,age_group,age_info,target_group,area,indicator_date,indicator_matching,error_margin,representativeness,limitation,indicator_comment,source_id,interpolated,insert_date,publish,indicator_month,indicator_name,dimension,variable,indicator_type,indicator_publish,country_name,region,display_in_tableau,income_group,fragility_index_fund_for_peace,organisation,title,details,authors,methodology,sample_size,target_pop,scale,quality_check,access_type,source_comment,publication_channel,link,source_date,key_words,source_status,frequency,sample_type,population_size,category
0,ZWE,National,INF001,Evolution,What COVID-19 topics do you want more information about? - Variants of COVID-19 (also known as coronavirus mutations),0.208522,9.0,45.0,All,Adult,25-54,Unspecified,All,2021-07-01,Partial,0.14907119849998599,Acceptable,"Facebook users only, Extremely limited sample size",,S112,0,2021-12-11 20:12:41,1,2021-07-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,University of Maryland,COVID-19 World Survey Data API,"This is an API for accessing the daily COVID-19 World Symptoms Survey data. Data calculated based on the Facebook global symptoms survey data. Using the survey data, we estimate the percentage of people in a given country or region. ","Junchuan Fan, Yao Li, Kathleen Stewart, Anil R. Kommareddy, Adrianne Bradford, Samantha Chiu, Frauke Kreuter, Neta Barkay, Alyssa Bilinski, Brian Kim, Roee Eliat, Tal Galili, Daniel Haimovich, Sarah LaRocca, Stanley Presser, Katherine Morris, Joshua A Salomon, Elizabeth A. Stuart, Ryan Tibshirani, Tali Alterman Barash, Curtiss Cobb, Andres Garcia, Andi Gros, Ahmed Isa, Alex Kaess, Faisal Karim, Ofir Eretz Kedosha, Shelly Matskel, Roee Melamed, Amey Patankar, Irit Rutenberg, Tal Salmona, David Vannette",Misc.,,,Multi-country,Peer-review,Dataset,,University of Maryland,https://covidmap.umd.edu/api.html,2020-06-01,vaccination|protection measures|trust,Processed,monthly,Panel-based sample,14862924.0,Adult
1,ZWE,National,INF001,Evolution,,0.214217,,,All,All,Unspecified,Unspecified,All,2020-03-01,Partial,0.596284806728363,Acceptable,Interpolation,interpolation,S000,1,2022-04-07 21:10:12,1,2020-03-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,Interpolation,Interpolation,,,,,,,,,,,,,,,,,14862924.0,Global
2,ZWE,National,INF001,Evolution,,0.214217,,,All,All,Unspecified,Unspecified,All,2020-04-01,Partial,0.5773502588272095,Acceptable,Interpolation,interpolation,S000,1,2022-04-07 21:10:12,1,2020-04-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,Interpolation,Interpolation,,,,,,,,,,,,,,,,,14862924.0,Global
3,ZWE,National,INF001,Evolution,,0.214217,,,All,All,Unspecified,Unspecified,All,2020-05-01,Partial,0.5577733516693115,Acceptable,Interpolation,interpolation,S000,1,2022-04-07 21:10:12,1,2020-05-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,Interpolation,Interpolation,,,,,,,,,,,,,,,,,14862924.0,Global
4,ZWE,National,INF001,Evolution,,0.214217,,,All,All,Unspecified,Unspecified,All,2020-06-01,Partial,0.5374838709831238,Acceptable,Interpolation,interpolation,S000,1,2022-04-07 21:10:12,1,2020-06-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,Interpolation,Interpolation,,,,,,,,,,,,,,,,,14862924.0,Global
5,ZWE,National,INF001,Evolution,,0.214217,,,All,All,Unspecified,Unspecified,All,2020-07-01,Partial,0.5163977742195129,Acceptable,Interpolation,interpolation,S000,1,2022-04-07 21:10:12,1,2020-07-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,Interpolation,Interpolation,,,,,,,,,,,,,,,,,14862924.0,Global
6,ZWE,National,INF001,Evolution,,0.214217,,,All,All,Unspecified,Unspecified,All,2020-08-01,Partial,0.49441322684288025,Acceptable,Interpolation,interpolation,S000,1,2022-04-07 21:10:12,1,2020-08-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,Interpolation,Interpolation,,,,,,,,,,,,,,,,,14862924.0,Global
7,ZWE,National,INF001,Evolution,,0.214217,,,All,All,Unspecified,Unspecified,All,2020-09-01,Partial,0.4714045226573944,Acceptable,Interpolation,interpolation,S000,1,2022-04-07 21:10:12,1,2020-09-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,Interpolation,Interpolation,,,,,,,,,,,,,,,,,14862924.0,Global
8,ZWE,National,INF001,Evolution,,0.214217,,,All,All,Unspecified,Unspecified,All,2020-10-01,Partial,0.4472135901451111,Acceptable,Interpolation,interpolation,S000,1,2022-04-07 21:10:12,1,2020-10-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,Interpolation,Interpolation,,,,,,,,,,,,,,,,,14862924.0,Global
9,ZWE,National,INF001,Evolution,,0.214217,,,All,All,Unspecified,Unspecified,All,2020-11-01,Partial,0.42163702845573425,Acceptable,Interpolation,interpolation,S000,1,2022-04-07 21:10:12,1,2020-11-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,Interpolation,Interpolation,,,,,,,,,,,,,,,,,14862924.0,Global
10,ZWE,National,INF001,Evolution,,0.214217,,,All,All,Unspecified,Unspecified,All,2020-12-01,Partial,0.3944053053855896,Acceptable,Interpolation,interpolation,S000,1,2022-04-07 21:10:12,1,2020-12-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,Interpolation,Interpolation,,,,,,,,,,,,,,,,,14862924.0,Global
11,ZWE,National,INF001,Evolution,,0.214217,,,All,All,Unspecified,Unspecified,All,2021-01-01,Partial,0.3651483654975891,Acceptable,Interpolation,interpolation,S000,1,2022-04-07 21:10:12,1,2021-01-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,Interpolation,Interpolation,,,,,,,,,,,,,,,,,14862924.0,Global
12,ZWE,National,INF001,Evolution,,0.214217,,,All,All,Unspecified,Unspecified,All,2021-02-01,Partial,0.3333333432674408,Acceptable,Interpolation,interpolation,S000,1,2022-04-07 21:10:12,1,2021-02-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,Interpolation,Interpolation,,,,,,,,,,,,,,,,,14862924.0,Global
13,ZWE,National,INF001,Evolution,,0.214217,,,All,All,Unspecified,Unspecified,All,2021-03-01,Partial,0.2981424033641815,Acceptable,Interpolation,interpolation,S000,1,2022-04-07 21:10:12,1,2021-03-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,Interpolation,Interpolation,,,,,,,,,,,,,,,,,14862924.0,Global
14,ZWE,National,INF001,Evolution,,0.214217,,,All,All,Unspecified,Unspecified,All,2021-04-01,Partial,0.25819888710975647,Acceptable,Interpolation,interpolation,S000,1,2022-04-07 21:10:12,1,2021-04-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,Interpolation,Interpolation,,,,,,,,,,,,,,,,,14862924.0,Global
15,ZWE,National,INF001,Evolution,,0.214217,,,All,All,Unspecified,Unspecified,All,2021-05-01,Partial,0.21081851422786713,Acceptable,Interpolation,interpolation,S000,1,2022-04-07 21:10:12,1,2021-05-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,Interpolation,Interpolation,,,,,,,,,,,,,,,,,14862924.0,Global
